Attribute,Aim,Aim_description,Aim_resp,Total_count,Aim_%_True,Condition1,Condition1_description,Condition1_resp,Condition1_count,Condition1_Aim_%,Condition2,Condition2_description,Condition2_resp,Condition2_count,Condition2_Aim_%,final_entropy
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,"(None,)",,None,1159,0.8930112165660051,"(None,)",,None,1159,0.8930112165660051,0.4907658676516883
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,R1c_perc_cost_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",if they believe that implementing or paying someone to implement this structural measure would be cheap,416,0.7788461538461539,R01_resilience_6,My household can rely on the support from my government when I need help (e.g. receiving funding or support in the event of a natural disaster),if they feel they can rely on government support,311,0.7877813504823151,0.7457022590910922
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,R1c_perc_cost_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",if they believe that implementing or paying someone to implement this structural measure would be expensive,743,0.9569313593539704,,,None,743,0.9569313593539704,0.256189076205616
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,R1c_perc_cost_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",if they believe that implementing or paying someone to implement this structural measure would be expensive,743,0.9569313593539704,R1a_self_efficacy_SM3,Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials,if they are not able to undertake the structural measure either themselves or by paying a professional to do so,635,0.9732283464566929,0.1779340107206948
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,R1a_self_efficacy_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",if they are not able to undertake the structural measure either themselves or by paying a professional to do so,974,0.9065708418891171,,,None,974,0.9065708418891171,0.4478134923988957
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,R1a_self_efficacy_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",if they are not able to undertake the structural measure either themselves or by paying a professional to do so,974,0.9065708418891171,R01_resilience_6,My household can rely on the support from my government when I need help (e.g. receiving funding or support in the event of a natural disaster),if they feel they can rely on government support,680,0.9058823529411765,0.4500666580964382
People living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not reconstruct or reinforce walls and/or ground floor with water-resistant materials within the next year,1159,0.8930112165660051,R1a_self_efficacy_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",if they are not able to undertake the structural measure either themselves or by paying a professional to do so,974,0.9065708418891171,R01_resilience_6,My household can rely on the support from my government when I need help (e.g. receiving funding or support in the event of a natural disaster),if they feel they cannot rely on government support,294,0.9081632653061225,0.4425710648397979
People living in the Netherlands,R2_implementation_SM6,"Installing a pump and/or one or more system(s) to drain flood water, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not install a pump and/or one or more systems to drain flood water within the next year,1159,0.8731665228645384,"(None,)",,None,1159,0.8731665228645384,"(None,)",,None,1159,0.8731665228645384,0.5486895858799942
People living in the Netherlands,R2_implementation_SM6,"Installing a pump and/or one or more system(s) to drain flood water, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not install a pump and/or one or more systems to drain flood water within the next year,1159,0.8731665228645384,R1c_perc_cost_SM6,"Installing a pump and/or one or more system(s) to drain flood water, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",if they believe that implementing or paying someone to implement this structural measure would be cheap,572,0.8234265734265734,,,None,572,0.8234265734265734,0.6725233117337178
People living in the Netherlands,R2_implementation_SM6,"Installing a pump and/or one or more system(s) to drain flood water, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",not install a pump and/or one or more systems to drain flood water within the next year,1159,0.8731665228645384,R1c_perc_cost_SM6,"Installing a pump and/or one or more system(s) to drain flood water, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",if they believe that implementing or paying someone to implement this structural measure would be cheap,572,0.8234265734265734,R08_economic_comfort,"When considering your salary along with your expenses, how would you describe your level of 'economic comfort'?",if they feel they are not living comfortably,291,0.8075601374570447,0.7065476519185905
