,question_answers_combined,ADICO_Category
Q0_age_1.0,"Age, ",Attribute
Q0_gender_1.0,"What gender do you identify with?, ",Attribute
Q0_race_US_1.0,"What race do you self-identify as? (USA only), ",Attribute
Q0_ethnicity_ID_1.0,"What ethnic group do you identify as? (Indonesia only), ",Attribute
Q0_education_US_1.0,"What is the highest level of education you have completed?, ",Attribute
Q0_employment_US_1.0,"Employment status, ",Attribute
Q0_state_US_12.0,"State of residence (USA only), ",Attribute
Q0_postcode_nan,"Zipcode or postal code, ",Attribute
Q1_home_CN_1.0,"What category best describes your current home or accommodation?, ",Attribute/Condition
Q2_floors_nan,"(If not mobile home) Please select all the floors you use:, ",Attribute/Condition
Q2_floors_1_0.0,"Basement, (If not mobile home) Please select all the floors you use:",Attribute/Condition
Q2_floors_2_0.0,"Ground floor, (If not mobile home) Please select all the floors you use:",Attribute/Condition
Q2_floors_3_0.0,"First floor or above, (If not mobile home) Please select all the floors you use:",Attribute/Condition
Q3_constr_qual_1.0,"Please select on the scale below the category that best describes the quality of construction of the building in which you live, ",Condition
Q4_home_size_CN_ID_NL_1.0,"How many square meters is your accommodation? If you don't know for sure, please provide your best estimation., ",Condition
Q4_home_size_US_1.0,"How many square feet is your accommodation? If you don't know for sure, please provide your best estimation., How many square meters is your accommodation? If you don't know for sure, please provide your best estimation.",Condition
Q5_home_tenure_1.0,"Do you rent or own your accommodation?, ",Condition
Q5a_mortgage_1.0,"How much of your mortgage have you paid off for your home?, ",Condition
Q5b_home_sell_nan,"If you were to put your accommodation on the market today, how much do you believe it would sell for? Please provide your best estimation of the full amount., ",Condition
Q6_home_costs_nan,"Please provide your best guess on your current monthly mortgage/rent and operating costs (such as water, heating, electricity, phone, internet, taxes etc), ",Condition
Q7_move_in_nan,"In what year did you begin living in this accommodation?, ",Condition
Q8_move_out_1.0,"How much longer are you planning on staying in your current house?, ",Aim/Condition
Q9_easy_leave_1.0,"How easy or difficult would it be to leave the place you currently live?, ",Aim/Condition
Q10_community_0.0,"Are you an active member of one or more community organizations such as a religious organization, civil group, book club, cooking club, neighborhood organization etc.?, ",Aim/Condition
Q11_search_factors_nan,"Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?, ",Potential Shared Strategy 
Q11_search_improve_0.0,"Improving living conditions, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_social_0.0,"Social network of friends and family, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_family_0.0,"Family-related reasons (e.g. moving in with or separating from a partner, children born or leaving the household, etc.), Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_area_0.0,"Feeling of attachment to the city/ area, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_job_0.0,"Job related reasons, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_location_0.0,"Location, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_hazard_0.0,"Natural hazards at a former place of residence, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_other_0.0,"Other reasons, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11_search_dontknow_0.0,"Don't know, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Potential Shared Strategy 
Q11a_hazard_nan,"You have indicated that natural hazards at your former place of residence were a reason for moving. Which natural hazards exactly? Multiple answers possible, Please think back to when you were searching for a place to live. What were the principle factors that influenced your decisions in selecting a home?",Condition
Q11a_hazard_type1_0.0,"Hurricanes, ",Condition
Q11a_hazard_type2_0.0,"Tropical Storms, Hurricanes",Condition
Q11a_hazard_type3_0.0,"Heavy rainfall, Hurricanes",Condition
