ID,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_yes_ins,Q2_no_action_reason_SM1,Q2_no_action_reason_SM2,Q2_no_action_reason_SM3,Q2_no_action_reason_SM4,Q2_no_action_reason_SM5,Q2_no_action_reason_SM6,Q2_no_action_reason_SM7,Q2_no_action_reason_NM1,Q2_no_action_reason_NM2,Q2_no_action_reason_NM3,Q2_no_action_reason_NM4,Q2_no_action_reason_NM5,Q2_no_action_reason_NM6,Q2_no_action_reason_NM7,Q2_no_action_reason_NM8,Q2_no_action_reason_NM9,Q2_no_action_reason_NM10,Q2_no_action_reason_NM11,Q3a_implementation_cost_SM1,Q3a_implementation_cost_SM2,Q3a_implementation_cost_SM3,Q3a_implementation_cost_SM4,Q3a_implementation_cost_SM5,Q3a_implementation_cost_SM6,Q3a_implementation_cost_SM7,Q3a_implementation_cost_NM1,Q3a_implementation_cost_NM2,Q3a_implementation_cost_NM3,Q3a_implementation_cost_NM4,Q3a_implementation_cost_NM5,Q3a_implementation_cost_NM6,Q3a_implementation_cost_NM7,Q3a_implementation_cost_NM8,Q3a_implementation_cost_NM9,Q3a_implementation_cost_NM10,Q3a_implementation_cost_NM11,Q3a_implementation_cost_ins,Q3b_perc_cost_SM1,Q3b_perc_cost_SM2,Q3b_perc_cost_SM3,Q3b_perc_cost_SM4,Q3b_perc_cost_SM5,Q3b_perc_cost_SM6,Q3b_perc_cost_SM7,Q3b_perc_cost_NM1,Q3b_perc_cost_NM2,Q3b_perc_cost_NM3,Q3b_perc_cost_NM4,Q3b_perc_cost_NM5,Q3b_perc_cost_NM6,Q3b_perc_cost_NM7,Q3b_perc_cost_NM8,Q3b_perc_cost_NM9,Q3b_perc_cost_NM10,Q3b_perc_cost_NM11,Q3b_perc_cost_ins,Q4_measure_loan,R02a_perc_prob_change,R02_perc_prob,R02_perc_prob_other,R03a_perc_damage_change,R03_perc_damage,R04a_perc_health_change,R04_perc_health,R05a_worry_change,R05_worry,R013_recent_flood_exp,R013a_recent_flood_damage,R013b_recent_flood_health,R013c_recent_flood_cost,R06a_media_freq,R06b_social_media_freq,R010_flood_convo,R011_local_flood_convo,R01a_resilience_1_change,R01_resilience_1,R01a_resilience_2_change,R01_resilience_2,R01a_resilience_3_change,R01_resilience_3,R01a_resilience_4_change,R01_resilience_4,R01a_resilience_5_change,R01_resilience_5,R01a_resilience_6_change,R01_resilience_6,R09_savings_change,R09a_savings_change_frac,R08a_economic_comfort_change,R08_economic_comfort,R012_lost_job,R012a_lost_job_impact,Q22_recovery_time,Q22a_no_recovery_since,Q23_disrupted_electricity,Q23_disrupted_water,Q23_disrupted_waste,Q23_disrupted_travel,Q23_disrupted_internet,Q23_disrupted_food,Q23_disrupted_other
216,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,15000000.0,15000000.0,1000000.0,1000000.0,1000000.0,1000000.0,5000000.0,,500000.0,-7.0,-7.0,1000000.0,1000000.0,-7.0,-7.0,500000.0,-7.0,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,1.0,,1.0,,1,3.0,3.0,50000000.0,5,5,5,5.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,2,5.0,1.0,,1,4.0,4.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,-7.0,-7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1,1.0,1.0,-7.0,5,5,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,1,99.0,98.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
349,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,-7.0,,,,,,,,,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,,,,,,,,-7.0,,,-7.0,,,,,,,,,81.0,0.0,1.0,,,,1.0,,1.0,,0,,,,5,5,2,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,2,10.0,1.0,,1,5.0,,,,,,,,,
403,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,3.0,,,,,800000.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,,-7.0,,-7.0,,,-7.0,-7.0,-7.0,,,,,,,,,,,,,100000.0,,100000.0,1000000.0,,,,100000.0,2.0,1.0,,,1.0,,1.0,,1.0,,0,,,,2,3,2,5.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,0,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,25000000.0,,20000000.0,-7.0,,,-7.0,800000.0,500000.0,5000000.0,-7.0,1000000.0,,5000000.0,200000.0,500000.0,500000.0,5000000.0,,,,,,,,,,,,,,,,,,,,,27.0,0.0,2.0,,,,,,1.0,,0,,,,2,3,5,5.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1,30.0,1.0,,1,3.0,,,,,,,,,
630,,,3.0,,,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,,,,300000.0,,,,-7.0,,-7.0,,,100000.0,-7.0,,,,,,,,,,,-7.0,-7.0,,,,-7.0,-7.0,,,,46.0,1.0,,,,,1.0,,1.0,,0,,,,3,4,5,3.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,0,,,,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,0.0,2000000.0,0.0,,,0.0,1000000.0,0.0,3000000.0,1000000.0,500000.0,0.0,0.0,200000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,,,1.0,,1,4.0,2.0,500000.0,5,5,16,6.0,1.0,,1.0,,1.0,,0.0,3.0,1.0,,1.0,,2,25.0,1.0,,0,,2.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0
797,1.0,,,,,,,,2.0,2.0,2.0,,2.0,,1.0,2.0,2.0,2.0,,,,,,,,,,97.0,9.0,8.0,,2.0,,,8.0,,8.0,200000.0,1000000.0,-7.0,-7.0,-7.0,200000.0,-7.0,-7.0,,,,-7.0,,-7.0,-7.0,,,,,,,,,,,,,200000.0,-7.0,-7.0,,-7.0,,,-7.0,-7.0,-7.0,,0.0,1.0,,,,,0.0,1.0,0.0,1.0,0,,,,4,4,0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,1,1.0,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
802,3.0,,,,,2.0,3.0,,,,,2.0,3.0,,2.0,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,-7.0,-7.0,-7.0,,,,-7.0,-7.0,,-7.0,,,-7.0,,,300000.0,-7.0,,,,,,,-7.0,,,,,,-7.0,,,-7.0,,,,,64.0,0.0,98.0,,,,1.0,,1.0,,0,,,,3,3,5,5.0,1.0,,1.0,,1.0,,1.0,,0.0,3.0,1.0,,2,-7.0,0.0,2.0,1,5.0,,,,,,,,,
813,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,3.0,3.0,,,4.0,,,,,,,3.0,,,,5.0,6.0,,,,,,,,,-7.0,-7.0,,-7.0,,-7.0,,-7.0,,,-7.0,,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,,-7.0,,-7.0,,-7.0,,-7.0,-7.0,,,33.0,0.0,1.0,,0.0,4.0,0.0,3.0,1.0,,0,,,,4,2,2,6.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,,1.0,,1.0,,1,-7.0,1.0,,0,,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
