Condition,Condition_value,Aim,Aim_value,Count,Condition_text,Aim_text
Q17_compens_other,0.0,R06a_media_freq,1,17,"Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possibleOther groups No; Yes",How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q18_flood_exp,0.0,R06a_media_freq,1,17,Have you ever personally experienced a flood of any kind? No; Yes,How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q60_elder,0.0,R06a_media_freq,1,16,Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)Yes – adults over 70 No; Yes,How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q48_business_owner,0.0,R06a_media_freq,1,16,Do you own your own business? No; Yes,How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q17_compens_noone,0.0,R06a_media_freq,1,17,"Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possibleNo one No; Yes",How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q60_not_say,0.0,R06a_media_freq,1,17,Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)Prefer not to say No; Yes,How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q60_child,0.0,R06a_media_freq,1,16,Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)Yes – children under 12 No; Yes,How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
R2_implementation_SM2,6.0,R06a_media_freq,1,16,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureStrengthen the housing foundations to withstand water pressures I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure",How frequently do you read information about flooding and other hazards?From the general media 1 - Very infrequently; 2; 3; 4; 5 - Very frequently
Q17_compens_other,0.0,R2_implementation_SM3,6,18,"Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possibleOther groups No; Yes","Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
Q18_flood_exp,0.0,R2_implementation_SM3,6,18,Have you ever personally experienced a flood of any kind? No; Yes,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
R2_implementation_SM5,6.0,R2_implementation_SM3,6,16,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureInstalling anti-backflow valves on pipes I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure","Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
Q60_elder,0.0,R2_implementation_SM3,6,17,Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)Yes – adults over 70 No; Yes,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
R2_implementation_SM4,6.0,R2_implementation_SM3,6,16,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureRaising the electricity meter above the most likely flood level or on an upper floor I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure","Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
R2_implementation_SM7,6.0,R2_implementation_SM3,6,17,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureFixing water barriers (e.g. water-proof basement windows) I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure","Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
Q48_business_owner,0.0,R2_implementation_SM3,6,16,Do you own your own business? No; Yes,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
Q2_floors_3,1.0,R2_implementation_SM3,6,16,(If not mobile home) Please select all the floors you use:First floor or above No; Yes,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the futureReconstructing or reinforcing the walls and/or the ground floor with water-resistant materials I have already implemented this structural measure; I intend to implement this structural measure in the next 6 months; I intend to implement this structural measure in the next 12 months; I intend to implement this structural measure in the next 2 years; I intend to implement this structural measure in the future, after 2 years; I do not intend to implement this structural measure"
