Attribute,Aim,Aim_description,Aim_resp,Total_count,Aim_%_True,Condition1,Condition1_description,Condition1_resp,Condition1_count,Condition1_Aim_%,Condition2,Condition2_description,Condition2_resp,Condition2_count,Condition2_Aim_%,final_entropy
People aged under 45 in the Netherlands,R2_implementation_NM4,"Being an active member in a community group aimed at making the community safer, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I have already implemented this non-structural measure,409,0.5378973105134475,Q18_flood_exp,"Have you ever personally experienced a flood of any kind?, ",Yes,77,0.8311688311688312,R01_resilience_5,My household can rely on the support of family and friends when I need help,"2, 3, 4, 5 - Strongly disagree",15,1.0,0.0
People aged under 45 in the Netherlands,R2_implementation_NM5,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I have already implemented this non-structural measure,409,0.5819070904645477,Q18_flood_exp,"Have you ever personally experienced a flood of any kind?, ",Yes,77,0.8311688311688312,Q5_home_tenure,Do you rent or own your accommodation?,Own,41,0.926829268292683,0.37764632137370036
People aged under 45 in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",I have already implemented this structural measure,409,0.4572127139364303,Q18_flood_exp,"Have you ever personally experienced a flood of any kind?, ",Yes,77,0.8311688311688312,R01_resilience_4,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank)","3, 4, 5 - Strongly disagree",56,0.9285714285714286,0.37123232664087563
People aged over 45 in the Netherlands,R06a_media_freq,"From the general media, How frequently do you read information about flooding and other hazards?",1 - Very infrequently,265,0.7849056603773585,R01_resilience_5,"My household can rely on the support of family and friends when I need help, Please select on the scale how you feel about each item","1 - Strongly agree, 2, 3",192,0.8333333333333334,R01_resilience_5,My household can rely on the support of family and friends when I need help,"3, 4, 5 - Strongly disagree",69,0.927536231884058,0.37505140642401236
People aged over 45 in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",I do not intend to implement this structural measure,265,0.8641509433962264,Q18_flood_exp,"Have you ever personally experienced a flood of any kind?, ",No,237,0.8987341772151899,R01_resilience_2,"During times of hardship, my household can change its primary income or source of livelihood if needed",5 - Strongly disagree,51,1.0,0.0
Males living in the Netherlands,R2_implementation_NM4,"Being an active member in a community group aimed at making the community safer, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I do not intend to implement this non-structural measure,361,0.4930747922437673,R01_resilience_4,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank), Please select on the scale how you feel about each item",5 - Strongly disagree,31,0.8064516129032258,R01_resilience_3,"If hardships or natural disasters became more frequent and intense, my household would still find a way to get by","2, 3, 4, 5 - Strongly disagree",5,1.0,0.0
Males living in the Netherlands,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",I have already implemented this structural measure,361,0.3601108033240997,Q18_flood_exp,"Have you ever personally experienced a flood of any kind?, ",Yes,61,0.6885245901639344,R01_resilience_3,"If hardships or natural disasters became more frequent and intense, my household would still find a way to get by","4, 5 - Strongly disagree",20,0.95,0.28639695711595625
Females living in the Netherlands,R2_implementation_NM5,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I have already implemented this non-structural measure,313,0.5878594249201278,Q24_perc_prob_change,"Do you expect that the risk of flooding in your area to increase, decrease, or stay the same in the next ten years?, ",Decrease,17,1.0,"(None,)",,,17,1.0,0.0
People living in the Netherlands that have not completed highschool,R06a_media_freq,"From the general media, How frequently do you read information about flooding and other hazards?",1 - Very infrequently,22,0.7727272727272727,R01_resilience_5,"My household can rely on the support of family and friends when I need help, Please select on the scale how you feel about each item","4, 5 - Strongly disagree",13,1.0,"(None,)",,,13,1.0,0.0
People living in the Netherlands that have not completed highschool,R2_implementation_NM4,"Being an active member in a community group aimed at making the community safer, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I have already implemented this non-structural measure,22,0.7272727272727273,Q8_move_out,"How much longer are you planning on staying in your current house?, ","I am looking to move in 1 year or less, 1-5 years, 5-10 years",15,0.8666666666666667,R01_resilience_4,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank)","4, 5 - Strongly disagree",7,1.0,0.0
People living in the Netherlands that have not completed highschool,R2_implementation_NM5,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I have already implemented this non-structural measure,22,0.7727272727272727,R01_resilience_6,"My household can rely on the support from my government when I need help (e.g. receiving funding or support in the event of a natural disaster), Please select on the scale how you feel about each item","3, 4, 5 - Strongly disagree",12,0.9166666666666666,R01_resilience_1,My household can bounce back from any challenge that life throws at it,"4, 5 - Strongly disagree",6,1.0,0.0
People living in the Netherlands that have completed highschool,R06a_media_freq,"From the general media, How frequently do you read information about flooding and other hazards?",1 - Very infrequently,286,0.7902097902097902,R01_resilience_5,"My household can rely on the support of family and friends when I need help, Please select on the scale how you feel about each item","4, 5 - Strongly disagree",62,0.6290322580645161,R01_resilience_1,My household can bounce back from any challenge that life throws at it,"2, 3, 4, 5 - Strongly disagree",6,1.0,0.0
People living in the Netherlands that have completed highschool,R2_implementation_NM4,"Being an active member in a community group aimed at making the community safer, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I do not intend to implement this non-structural measure,286,0.5314685314685315,R01_resilience_4,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank), Please select on the scale how you feel about each item",5 - Strongly disagree,36,0.7777777777777778,R01_resilience_5,My household can rely on the support of family and friends when I need help,"4, 5 - Strongly disagree",13,1.0,0.0
People living in the Netherlands that have completed highschool,R2_implementation_NM5,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",I do not intend to implement this non-structural measure,286,0.42657342657342656,R01_resilience_4,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank), Please select on the scale how you feel about each item",5 - Strongly disagree,36,0.6944444444444444,Q17_compens_ins,My insurance,Yes,15,0.9333333333333333,0.35335933502142136
People living in the Netherlands that have completed highschool,R2_implementation_SM3,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",I do not intend to implement this structural measure,286,0.7097902097902098,Q18_flood_exp,"Have you ever personally experienced a flood of any kind?, ",No,246,0.7723577235772358,R01_resilience_4,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank)",5 - Strongly disagree,32,0.96875,0.20062232431271465
